tt;BOM_tc;BOM_to;BOM_tu;BOM_co;BOM_cu;BOM_cm;BOM_cf;BOM_gtb;BOM_stb;BOM_prec;BOM_score;VIPS_tc;VIPS_to;VIPS_tu;VIPS_co;VIPS_cu;VIPS_cm;VIPS_cf;VIPS_gtb;VIPS_stb;VIPS_prec;VIPS_score
0;0.0;0.0;0.0;0.0;0.0;6.0;6.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;9.5;9.5;8.0;0.0;0.0
5;2.0;0.0;0.0;0.0;0.0;4.0;4.0;6.0;6.0;0.3333333333333333;0.041666666666666664;1.0;0.0;0.0;0.0;0.0;7.0;8.5;9.5;8.0;0.10526315789473684;0.006791171477079796
10;3.0;0.0;0.0;0.0;0.0;3.0;3.0;6.0;6.0;0.5;0.08333333333333333;2.0;0.0;0.5;0.0;0.5;5.5;6.5;9.5;8.0;0.21052631578947367;0.016842105263157894
15;4.0;0.0;0.0;0.0;0.0;2.0;2.0;6.0;6.0;0.6666666666666666;0.16666666666666666;2.5;0.0;0.5;0.0;0.5;5.0;6.0;9.5;8.0;0.2631578947368421;0.02288329519450801
20;3.0;2.0;0.0;1.0;0.0;0.0;2.0;6.0;6.0;0.5;0.125;3.0;2.5;2.5;2.0;1.5;2.0;3.5;9.5;8.0;0.3157894736842105;0.03007518796992481
25;1.0;3.0;1.0;2.0;1.0;0.0;2.0;6.0;6.0;0.16666666666666666;0.027777777777777776;3.5;3.5;3.5;3.0;2.5;0.0;1.5;9.5;8.0;0.3684210526315789;0.043343653250773995
