tt;BOM_tc;BOM_to;BOM_tu;BOM_co;BOM_cu;BOM_cm;BOM_cf;BOM_gtb;BOM_stb;BOM_prec;BOM_score;VIPS_tc;VIPS_to;VIPS_tu;VIPS_co;VIPS_cu;VIPS_cm;VIPS_cf;VIPS_gtb;VIPS_stb;VIPS_prec;VIPS_score
0;0.6363636363636364;0.0;1.7272727272727273;0.0;0.2727272727272727;5.636363636363637;7.090909090909091;9.727272727272727;6.545454545454546;0.06542056074766356;0.004525950743549051;0.7272727272727273;0.18181818181818182;1.3636363636363635;0.09090909090909091;0.2727272727272727;6.318181818181818;7.454545454545454;9.909090909090908;7.590909090909091;0.07339449541284404;0.004791332044755398
5;2.6363636363636362;0.2727272727272727;2.090909090909091;0.2727272727272727;0.45454545454545453;3.4545454545454546;4.818181818181818;9.727272727272727;6.545454545454546;0.2710280373831776;0.02548126847192268;2.090909090909091;0.4090909090909091;1.6363636363636365;0.3181818181818182;0.45454545454545453;4.590909090909091;5.681818181818182;9.909090909090908;7.590909090909091;0.21100917431192662;0.0171298960696029
10;2.909090909090909;1.4545454545454546;2.727272727272727;1.0909090909090908;0.7272727272727273;2.0;3.909090909090909;9.727272727272727;6.545454545454546;0.2990654205607477;0.029637113749263286;2.6363636363636362;1.0454545454545454;2.0454545454545454;0.7727272727272727;0.6363636363636364;3.3181818181818183;4.636363636363637;9.909090909090908;7.590909090909091;0.26605504587155965;0.02408728810359799
15;2.6363636363636362;3.272727272727273;4.545454545454546;1.5454545454545454;1.5454545454545454;1.7272727272727273;3.6363636363636362;9.727272727272727;6.545454545454546;0.2710280373831776;0.020560747663551406;2.272727272727273;2.6818181818181817;3.6818181818181817;1.5454545454545454;1.4545454545454546;2.909090909090909;4.2272727272727275;9.909090909090908;7.590909090909091;0.22935779816513766;0.016989466530750938
20;2.272727272727273;4.0;5.363636363636363;2.0;1.8181818181818181;1.5454545454545454;3.3636363636363638;9.727272727272727;6.545454545454546;0.23364485981308414;0.016370022025120546;2.1818181818181817;3.590909090909091;4.545454545454546;1.8636363636363635;1.7272727272727273;2.6363636363636362;4.0;9.909090909090908;7.590909090909091;0.22018348623853212;0.014904728299223713
25;2.4545454545454546;5.181818181818182;6.545454545454546;2.272727272727273;1.9090909090909092;1.3636363636363635;3.1818181818181817;9.727272727272727;6.545454545454546;0.25233644859813087;0.015506709131728712;2.0454545454545454;4.545454545454546;5.590909090909091;2.1818181818181817;2.0454545454545454;2.3181818181818183;3.590909090909091;9.909090909090908;7.590909090909091;0.20642201834862386;0.012864828339007718
