tt;BOM_tc;BOM_to;BOM_tu;BOM_co;BOM_cu;BOM_cm;BOM_cf;BOM_gtb;BOM_stb;BOM_prec;BOM_score;VIPS_tc;VIPS_to;VIPS_tu;VIPS_co;VIPS_cu;VIPS_cm;VIPS_cf;VIPS_gtb;VIPS_stb;VIPS_prec;VIPS_score
0;0.0;0.0;0.0;0.0;0.0;12.0;13.0;13.0;12.0;0.0;0.0;0.5;0.0;1.0;0.0;1.0;7.0;10.5;13.0;8.5;0.038461538461538464;0.002079002079002079
5;8.0;0.0;0.0;0.0;0.0;4.0;5.0;13.0;12.0;0.6153846153846154;0.06837606837606838;4.5;0.0;1.0;0.0;1.0;3.0;6.5;13.0;8.5;0.34615384615384615;0.03296703296703297
10;7.0;0.0;1.0;0.0;1.0;4.0;4.0;13.0;12.0;0.5384615384615384;0.059829059829059825;5.0;0.0;1.5;0.0;1.5;2.0;5.0;13.0;8.5;0.38461538461538464;0.04524886877828055
15;7.0;0.0;1.0;0.0;1.0;4.0;4.0;13.0;12.0;0.5384615384615384;0.059829059829059825;5.0;0.0;1.5;0.0;1.5;2.0;5.0;13.0;8.5;0.38461538461538464;0.04524886877828055
20;8.0;0.0;1.0;0.0;1.0;3.0;3.0;13.0;12.0;0.6153846153846154;0.08791208791208792;5.5;0.0;1.5;0.0;1.5;1.5;4.5;13.0;8.5;0.4230769230769231;0.05641025641025641
25;8.0;0.0;1.0;0.0;1.0;3.0;3.0;13.0;12.0;0.6153846153846154;0.08791208791208792;5.5;0.0;1.5;0.0;1.5;1.5;4.5;13.0;8.5;0.4230769230769231;0.05641025641025641
