tt;BOM_tc;BOM_to;BOM_tu;BOM_co;BOM_cu;BOM_cm;BOM_cf;BOM_gtb;BOM_stb;BOM_prec;BOM_score;VIPS_tc;VIPS_to;VIPS_tu;VIPS_co;VIPS_cu;VIPS_cm;VIPS_cf;VIPS_gtb;VIPS_stb;VIPS_prec;VIPS_score
0;0.25;2.8333333333333335;0.0;0.4166666666666667;0.0;5.916666666666667;4.583333333333333;5.25;9.416666666666666;0.047619047619047616;0.0035714285714285718;0.20833333333333334;1.5416666666666667;0.0;0.2916666666666667;0.0;5.583333333333333;4.833333333333333;5.333333333333333;7.625;0.03906250000000001;0.0032665505226480845
5;2.0;2.8333333333333335;0.0;0.4166666666666667;0.0;4.166666666666667;2.8333333333333335;5.25;9.416666666666666;0.38095238095238093;0.038740920096852295;1.25;1.5416666666666667;0.0;0.2916666666666667;0.0;4.541666666666667;3.7916666666666665;5.333333333333333;7.625;0.234375;0.023734177215189875
10;2.5;2.9166666666666665;0.0;0.5;0.0;3.5;2.25;5.25;9.416666666666666;0.47619047619047616;0.054945054945054944;1.5;1.5833333333333333;0.0;0.3333333333333333;0.0;4.208333333333333;3.5;5.333333333333333;7.625;0.28125;0.030269058295964126
15;2.5833333333333335;2.9166666666666665;0.08333333333333333;0.5;0.08333333333333333;3.3333333333333335;2.0;5.25;9.416666666666666;0.4920634920634921;0.05904761904761905;1.7916666666666667;1.5833333333333333;0.041666666666666664;0.3333333333333333;0.041666666666666664;3.875;3.125;5.333333333333333;7.625;0.33593750000000006;0.03894927536231885
20;2.1666666666666665;3.3333333333333335;0.4166666666666667;0.9166666666666666;0.4166666666666667;3.25;2.0;5.25;9.416666666666666;0.4126984126984127;0.04585537918871252;1.5416666666666667;1.8333333333333333;0.25;0.5833333333333334;0.25;3.7916666666666665;3.0833333333333335;5.333333333333333;7.625;0.28906250000000006;0.032267441860465124
25;2.1666666666666665;3.4166666666666665;0.5;0.9166666666666666;0.5;3.1666666666666665;1.9166666666666667;5.25;9.416666666666666;0.4126984126984127;0.04585537918871252;1.8333333333333333;1.875;0.2916666666666667;0.5833333333333334;0.2916666666666667;3.4583333333333335;2.75;5.333333333333333;7.625;0.34375;0.041044776119402986
