tt;BOM_tc;BOM_to;BOM_tu;BOM_co;BOM_cu;BOM_cm;BOM_cf;BOM_gtb;BOM_stb;BOM_prec;BOM_score;VIPS_tc;VIPS_to;VIPS_tu;VIPS_co;VIPS_cu;VIPS_cm;VIPS_cf;VIPS_gtb;VIPS_stb;VIPS_prec;VIPS_score
0;0.5;0.0;0.5;0.0;0.5;2.5;4.0;5.5;3.5;0.09090909090909091;0.012987012987012988;1.0;0.0;0.5;0.0;0.5;7.25;3.5;5.5;8.75;0.18181818181818182;0.01616161616161616
5;2.5;0.0;1.0;0.0;1.0;0.0;1.0;5.5;3.5;0.45454545454545453;0.22727272727272727;2.0;0.0;1.0;0.0;1.0;5.75;1.5;5.5;8.75;0.36363636363636365;0.0440771349862259
10;2.5;0.0;1.0;0.0;1.0;0.0;1.0;5.5;3.5;0.45454545454545453;0.22727272727272727;2.0;0.0;1.0;0.0;1.0;5.75;1.5;5.5;8.75;0.36363636363636365;0.0440771349862259
15;2.0;1.5;2.5;1.5;1.5;0.0;1.0;5.5;3.5;0.36363636363636365;0.07272727272727272;1.5;1.5;2.5;1.5;1.5;5.75;1.5;5.5;8.75;0.2727272727272727;0.02424242424242424
20;2.0;1.5;2.5;1.5;1.5;0.0;1.0;5.5;3.5;0.36363636363636365;0.07272727272727272;1.75;1.5;2.5;1.5;1.5;5.5;1.25;5.5;8.75;0.3181818181818182;0.02959830866807611
25;2.0;1.5;2.5;1.5;1.5;0.0;1.0;5.5;3.5;0.36363636363636365;0.07272727272727272;1.75;1.75;2.5;1.5;1.5;5.25;1.25;5.5;8.75;0.3181818181818182;0.02959830866807611
