tt;BOM_tc;BOM_to;BOM_tu;BOM_co;BOM_cu;BOM_cm;BOM_cf;BOM_gtb;BOM_stb;BOM_prec;BOM_score;VIPS_tc;VIPS_to;VIPS_tu;VIPS_co;VIPS_cu;VIPS_cm;VIPS_cf;VIPS_gtb;VIPS_stb;VIPS_prec;VIPS_score
0;0.0;2.0;0.0;0.6666666666666666;0.0;11.666666666666666;5.0;5.666666666666667;14.333333333333334;0.0;0.0;0.16666666666666666;1.0;0.0;0.3333333333333333;0.0;8.666666666666666;5.166666666666667;5.666666666666667;10.166666666666666;0.02941176470588235;0.001982815598149372
5;1.6666666666666667;3.6666666666666665;0.0;2.3333333333333335;0.0;6.666666666666667;1.6666666666666667;5.666666666666667;14.333333333333334;0.29411764705882354;0.024509803921568627;1.1666666666666667;1.8333333333333333;0.0;1.1666666666666667;0.0;6.0;3.3333333333333335;5.666666666666667;10.166666666666666;0.20588235294117646;0.018437225636523266
10;2.0;3.6666666666666665;0.0;2.3333333333333335;0.0;6.333333333333333;1.3333333333333333;5.666666666666667;14.333333333333334;0.3529411764705882;0.03114186851211072;1.6666666666666667;1.8333333333333333;0.0;1.1666666666666667;0.0;5.5;2.8333333333333335;5.666666666666667;10.166666666666666;0.29411764705882354;0.028929604628736744
15;2.3333333333333335;3.6666666666666665;0.0;2.3333333333333335;0.0;6.0;1.0;5.666666666666667;14.333333333333334;0.4117647058823529;0.03860294117647059;1.6666666666666667;2.0;0.0;1.3333333333333333;0.0;5.166666666666667;2.6666666666666665;5.666666666666667;10.166666666666666;0.29411764705882354;0.02991026919242273
20;2.6666666666666665;4.333333333333333;0.0;2.3333333333333335;0.0;5.0;0.6666666666666666;5.666666666666667;14.333333333333334;0.4705882352941176;0.047058823529411764;2.0;2.3333333333333335;0.0;1.3333333333333333;0.0;4.5;2.3333333333333335;5.666666666666667;10.166666666666666;0.3529411764705882;0.03850267379679143
25;2.3333333333333335;4.666666666666667;0.0;2.6666666666666665;0.0;4.666666666666667;0.6666666666666666;5.666666666666667;14.333333333333334;0.4117647058823529;0.041176470588235294;2.0;2.5;0.0;1.5;0.0;4.166666666666667;2.1666666666666665;5.666666666666667;10.166666666666666;0.3529411764705882;0.039955604883462816
