tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,0.00034029629629629633,0.00039303703703703706,3.9259259259259255e-06,0.00019770370370370368,6.666666666666667e-07,0.00043711111111111104,5.377777777777779e-05
0.1,1,0.0002762962962962963,0.00013222222222222224,3.9259259259259255e-06,0.00012955555555555555,6.666666666666667e-07,0.0005692592592592592,0.00044674074074074077
0.2,1,0.00027622222222222224,0.00013222222222222224,3.9259259259259255e-06,0.00012955555555555555,6.666666666666667e-07,0.0005693333333333334,0.0004468148148148148
0.30000000000000004,1,0.00027622222222222224,0.00013222222222222224,3.9259259259259255e-06,0.00012955555555555555,6.666666666666667e-07,0.0005693333333333334,0.0004468148148148148
0.4,1,0.00027622222222222224,0.00013222222222222224,3.9259259259259255e-06,0.00012955555555555555,6.666666666666667e-07,0.0005693333333333334,0.0004468148148148148
0.5,1,0.00027622222222222224,0.00013222222222222224,3.9259259259259255e-06,0.00012955555555555555,6.666666666666667e-07,0.0005693333333333334,0.0004468148148148148
0.6,1,0.00027622222222222224,0.00013222222222222224,3.9259259259259255e-06,0.00012955555555555555,6.666666666666667e-07,0.0005693333333333334,0.0004468148148148148
0.7,1,0.00027622222222222224,0.00013222222222222224,3.9259259259259255e-06,0.00012955555555555555,6.666666666666667e-07,0.0005693333333333334,0.0004468148148148148
0.7999999999999999,1,0.00027622222222222224,0.00013222222222222224,3.9259259259259255e-06,0.00012955555555555555,6.666666666666667e-07,0.0005693333333333334,0.0004468148148148148
0.8999999999999999,1,0.00027622222222222224,0.00013222222222222224,3.9259259259259255e-06,0.00012955555555555555,6.666666666666667e-07,0.0005693333333333334,0.0004468148148148148
0.9999999999999999,1,0.00027622222222222224,0.00013222222222222224,3.9259259259259255e-06,0.00012955555555555555,6.666666666666667e-07,0.0005693333333333334,0.0004468148148148148
