tr,ta,tc,to,tu,co,cu,cm,cf
0,1,1,50,46,7,11,2,6
0.1,1,1,41,37,7,8,2,6
0.2,1,1,38,37,7,8,2,9
0.30000000000000004,1,1,38,37,7,8,2,9
0.4,1,1,38,37,7,8,2,9
0.5,1,1,38,37,7,8,2,9
0.6,1,1,38,37,7,8,2,9
0.7,1,1,38,37,7,8,2,9
0.7999999999999999,1,1,38,37,7,8,2,9
0.8999999999999999,1,1,38,37,7,8,2,9
0.9999999999999999,1,1,38,37,7,8,2,9
0,1,0,96,101,20,12,0,23
0.1,1,0,18,28,4,8,1,29
0.2,1,0,18,28,4,8,1,29
0.30000000000000004,1,0,18,28,4,8,1,29
0.4,1,0,18,28,4,8,1,29
0.5,1,0,18,28,4,8,1,29
0.6,1,0,18,28,4,8,1,29
0.7,1,0,18,28,4,8,1,29
0.7999999999999999,1,0,18,28,4,8,1,29
0.8999999999999999,1,0,18,28,4,8,1,29
0.9999999999999999,1,0,18,28,4,8,1,29
