tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,0.6666666666666666,11.333333333333334,8.833333333333334,3.8333333333333335,1.5,2.5,4.0
0.1,1,0.6666666666666666,9.5,8.833333333333334,3.5,1.5,2.8333333333333335,6.166666666666667
0.2,1,0.5,9.5,8.833333333333334,3.5,1.5,3.0,6.333333333333333
0.30000000000000004,1,0.5,9.5,8.833333333333334,3.5,1.5,3.0,6.333333333333333
0.4,1,0.5,9.5,8.833333333333334,3.5,1.5,3.0,6.333333333333333
0.5,1,0.5,9.5,8.833333333333334,3.5,1.5,3.0,6.333333333333333
0.6,1,0.5,9.5,8.833333333333334,3.5,1.5,3.0,6.333333333333333
0.7,1,0.5,9.5,8.833333333333334,3.5,1.5,3.0,6.333333333333333
0.7999999999999999,1,0.5,9.5,8.833333333333334,3.5,1.5,3.0,6.333333333333333
0.8999999999999999,1,0.5,9.5,8.833333333333334,3.5,1.5,3.0,6.333333333333333
0.9999999999999999,1,0.5,9.5,8.833333333333334,3.5,1.5,3.0,6.333333333333333
